product_id,product_name,product_category,star_rating,sentiment,sentiment_score,issue_category,priority,summary,review_title,review_content
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter w,Computers&Accessories,4.3,Positive,9,Quality,Low,The cable is efficient in fast charging but in quick data transfer,"Good for fast charge but not for data transfer,Good cable compares to local the brand.,good but doesnt last,Good product","The cable is efficient in fast charging but in quick data transfer. Overall fine.,I like the usb c  L shape. Nylon Shielded core wire it improves the life of the cable.,i think i buy these every 6 months or so. fast charging stops working after a whi"
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Met,Computers&Accessories,4.2,Positive,8,Value,Low,"Good product,long wire,Charges good,Nice,I bought this cable for Rs","Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it","Good product,long wire,Charges good,Nice,I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,Good,Ok,I had got this at good price on sale on Amazon and p"
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-F",Electronics,4.4,Positive,8,Quality,Low,I am using it for 14 days now,"It's quite good and value for money,Works well,Hdmi cable,Value for money,All good,Gets the job done,Delivery was good,T","I am using it for 14 days now. The experience is pretty good as of now. Picture quality is also not bad. Don't expect something out of the world at this price point. But you can go for it if you have a tight budget.,Initial impressions: works as said"
B085DTN6R2,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with,Computers&Accessories,4.2,Positive,10,Quality,Low,Definitely isn’t as good as the original cord but works,"Works,Nice Product,Fast Charging as original,Good for data transfer,Average. Cost effective,Good quality,Great Product,N","Definitely isn’t as good as the original cord but works. Fast charging and pretty sturdy,Worth it,So I had a faulty cable. I was lazy and have a lot of money so instead of calling Apple I bought this for like 300 bucks. Didn’t expected much but for m"
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable wi,Computers&Accessories,4.1,Positive,9,Quality,High,Loosing charging cable of apple is costly affair,"Great but,Worked well for 6 six months that’s it,Compatible with Apple iPad 2nd generation and charging very well.,CABLE","Loosing charging cable of apple is costly affair. This wire was great purchase made to correct it,Worked well for six months that’s it, now it’s stopped working, now planning to buy one more because the price has come down to 150,Very good product. C"
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,4.4,Positive,8,Quality,Low,"I like it 👍👍,Best charging power","Good product,using this product 8months It is done  I have not faced any problem so far, its build quality best,I really","I like it 👍👍,Best charging power . I used this cable on note 8 pro mi. Using 8month also fast working.,350 might be a little expensive but physically it’s so good. Feels premium. But power limitation is there it is not suitable for fast charging.,, d"
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AI,Electronics,4.2,Neutral,5,Quality,Medium,Pros- xiomi 5a is best in budget-Nice picture quality-Very nice audio output- Full of feat,"It is the best tv if you are getting it in 10-12k,Good price but the OS lags,GARBAGE QUALITY,Good product.,Good quality,","Pros- xiomi 5a is best in budget-Nice picture quality-Very nice audio output- Full of featureCONS- sometimes tv lags-Sometimes stucksIn this prize range all tv having cons like this.::Overall nice tv,The product in this price range is good but as it "
B082LSVT4B,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type,Computers&Accessories,4.0,Positive,7,Quality,Low,I ordered this cable to connect my phone to Android Auto of car,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,i",I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car usin
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Chargi",Computers&Accessories,4.1,Neutral,6,Quality,Low,"Check for offera before buying,18w charging cable,,Awesome cable","Good for charging and Data transfer,ਮਜ਼ਬੂਤ,Good Quality but less Power Delivery,Fantastic!,Good,Not useful,Doesn't fit p","Check for offera before buying,18w charging cable,,Awesome cable!Charging, data transfer and durability is simply awesome, and there is not a single disconnection issue, which I always faced in original mi cable from box. Bought 1 more time as last c"
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray,Electronics,4.3,Positive,7,Quality,Low,"LG was always Good , correct delivery, good service but sound quality was poor","Sound quality,Very nice,Value for money,Good,Good for its price.,Good item,Budget friendly,Good","LG was always Good , correct delivery, good service but sound quality was poor. The speakers were fitted below the tv. No clear sound. That was the only problem.,Good videoGood vice,Picture quality is awesome.,Good at that price,Okay product, the OS "
B09C6HXFC1,Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cab,Computers&Accessories,4.5,Positive,10,Quality,Low,I trust this product,"Good cable for car,Good substitute for orginal,Better Value for money Product,Way better than the original,Absolutely am","I trust this product! Works well with car play!,Very good quality and charging is fine. As good as original,Build quality is awesome, best lightening cable ever seen, better than a official  lightening from If ur looking for a cable close your eyes "
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop,",Electronics,3.7,Negative,4,Quality,Medium,This connector has provided as a boon for my old Samsung LCD monitor and I am proactively ,"Good product ; Average Finishing,Save it purpose well without any issue. I am satisfied,No issues,NO NEED TO PUT AUX CAB","This connector has provided as a boon for my old Samsung LCD monitor and I am proactively using that monitor as the 2nd screen just if the finishing of the product can be improved then it would be a better purchase option.,Save it purpose well withou"
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV ,Electronics,4.3,Neutral,6,Quality,Low,",TV picture ok smart betterSound very low another brand,Service provider refuse install my","Good,Sound is very low another brand comparing in better,Service provider not meet my home refuse, tv i am not using bad","Overall good.,TV picture ok smart betterSound very low another brand,Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad,They product did not come with the supp"
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,4.0,Positive,10,Value,Low,"Worked on iPhone 7 and didn’t work on iPhone XR, I didn’t like it","Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get chargi","Worked on iPhone 7 and didn’t work on iPhone XR, I didn’t like it. Still, I use it for my work.,Product is quite good and is fast charging.Loved it.,I like it . Looks last long.,The sturdiness will depend on the manner of its use. But its speed of ch"
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR28,Electronics,4.3,Positive,9,Quality,Low,About the TV - Wonderful---------------------------------------------------------------Pro,"Wonderful TV and Awful installation service from amazon,Acer Television Review,It's a good product for that price.,Good ","About the TV - Wonderful---------------------------------------------------------------Probably the best TV in this price range (INR13000).Good - Google interface, loaded with features, lightweight, 55 watt power consumption, stable designAverage - S"
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All H,Electronics,4.2,Positive,8,Quality,Low,The signal is too unstable once connect you need a bit of adjustment by unplugging or movi,"Cheap product and same is the performance but does the job,Good,No Box!!!,Good,Value for money,A very good quality cable",The signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal. But does the job. Go for this if you want to experiment with HDMI as I wasn't sure it would work for me or not. Otherwise go
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 ,Electronics,4.2,Positive,10,Quality,Low,This OnePlus TV is great if you want a affordable and middle range features TV,"Worthy and most affordable - Great TV,Good product,It's really worth the money but,Better product in this budget,Product",This OnePlus TV is great if you want a affordable and middle range features TV. I got it in the offer and it was totally worth it.Pros:-1. Sound is awesome - 100% satisfied with the quality of sound. Dolby Audio 20W speakers are really great for sure
B094JNXNPV,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable fo,Computers&Accessories,4.0,Positive,7,Quality,Low,The product seems and works good but it's not a fast  charging cable as it has to be and w,"Ok cable,three pin with hybrid wire,Sturdy,Nice,Good.,So good,CarPlay Not supported,पैसा वसूल 🙂",The product seems and works good but it's not a fast  charging cable as it has to be and when all the three ports are connected its more slower I'm charging  only good is single cable all three ports are there so its a ok product only if yiu are look
B09W5XR9RT,Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charg,Computers&Accessories,4.4,Positive,10,Quality,Low,",Cable seems to be of good quality, not used much as I keep it as backup in my car","Very good product.,Using as a spare cable in car,Sturdy, Durable, Fast Charging!,Good brand,It’s like original apple cab","Fast charging.,Cable seems to be of good quality, not used much as I keep it as backup in my car.,It’s good, sturdy & durable!It supports fast charging!Only thing is it’s a little expensive!,Nice product,I am writing this review after 10 days usage o"
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,4.3,Positive,10,Quality,Low,"One amazing cable for 300 bucks,Ok with charging","Just buy it dont even 2nd guess it,Quality is good,Nylon braided quiet sturdy,Amazing,Feels like steel harnessed wire - ","One amazing cable for 300 bucks,Ok with charging. Looks very sturdy and durable.,Fast charging upto 25watts 2m in length and really durable.Bought it like the 4th time passed down my older cables to family members all still in working state.,I bought"
